ìsìπï{åß,2016,2017,2018,2019,2020,2021,2022,2023,2024
21äÚïååß,"30,731.90","30,762.10","30,801.10","30,837.30","30,846.00","30,889.90","30,899.40","30,906.60","30,939.60"
22ê√â™åß,"25,173.70","25,204.30","25,239.00","25,258.40","25,290.10","25,313.50","25,306.90","25,342.90","25,309.80"
23à§ímåß,"43,841.40","43,964.30","44,012.50","44,040.60","44,114.20","44,135.90","44,171.40","44,194.00","44,238.40"
24éOèdåß,"25,306.70","25,337.70","25,394.90","25,407.50","25,471.80","25,485.50","25,510.40","25,560.60","25,587.50"
25é†âÍåß,"12,535.80","12,505.80","12,533.50","12,549.80","12,586.80","12,605.00","12,660.50","12,707.20","12,733.50"
26ãûìsï{,"11,968.60","11,989.30","12,045.20","12,071.70","12,094.20","12,109.30","12,121.40","12,125.40","12,131.00"
27ëÂç„ï{,"13,671.40","13,726.40","13,756.30","13,834.60","13,865.70","13,906.40","13,971.00","14,020.10","14,054.30"
28ï∫å…åß,"30,515.90","30,558.80","30,610.40","30,670.00","30,715.30","30,728.00","30,791.00","30,814.60","30,829.80"
29ìﬁó«åß,"12,679.60","12,721.10","12,767.40","12,731.60","12,784.20","12,781.00","12,798.20","12,804.60","12,815.60"
30  òaâÃéRåß,"13,628.20","13,735.70","13,808.20","13,827.80","13,848.90","13,851.70","13,880.70","13,901.10","13,922.70"
31íπéÊåß,"8,857.60","8,869.70","8,877.40","8,897.70","8,930.20","8,947.30","8,990.30","9,010.00","9,012.70"
32ìáç™åß,"18,286.70","18,294.50","18,268.20","18,277.40","18,269.40","18,297.30","18,295.70","18,302.60","18,312.90"
33â™éRåß,"25,673.70","25,678.40","25,687.90","25,726.80","25,768.10","25,795.60","25,816.80","25,842.20","25,882.50"
34çLìáåß,"24,691.40","24,685.00","24,706.30","24,744.50","24,756.60","24,770.80","24,796.50","24,818.70","24,828.20"
35éRå˚åß,"16,637.10","16,658.70","16,687.50","16,703.80","16,727.70","16,751.70","16,777.10","16,797.90","16,811.80"
36ìøìáåß,"15,224.80","15,243.60","15,275.60","15,288.70","15,308.80","15,332.80","15,361.80","15,387.00","15,401.60"
37çÅêÏåß,"10,284.50","10,290.10","10,295.50","10,304.30","10,317.50","10,324.40","10,332.90","10,336.50","10,362.00"
38à§ïQåß,"18,345.30","18,365.60","18,398.50","18,411.80","18,427.30","18,446.90","18,434.90","18,447.40","18,448.60"
39çÇímåß,"14,085.90","14,147.90","14,178.20","14,201.90","14,225.20","14,303.80","14,341.70","14,363.10","14,365.00"
40ïüâ™åß,"29,382.10","29,393.00","29,479.30","29,539.70","29,581.10","29,601.10","29,641.20","29,679.80","29,702.90"
41ç≤âÍåß,"10,970.70","10,990.50","11,001.60","11,026.90","11,024.90","11,037.90","11,050.30","11,072.90","11,080.00"
42í∑çËåß,"18,037.20","18,041.00","18,044.30","18,074.70","18,078.30","18,077.40","18,079.60","18,094.10","18,117.80"
43åFñ{åß,"22,188.60","22,212.00","22,240.20","22,262.50","22,311.80","22,365.60","22,393.30","22,426.10","22,336.80"
44ëÂï™åß,"18,423.70","18,452.10","18,509.40","18,538.60","18,563.70","18,595.90","18,650.40","18,649.00","18,681.70"
45ã{çËåß,"20,143.40","20,152.70","20,145.10","20,183.40","20,200.80","20,212.10","20,229.00","20,249.90","20,275.30"
46  é≠éôìáåß,"27,283.30","27,301.00","27,354.30","27,369.70","27,403.80","27,423.50","27,474.10","27,528.80","27,518.80"
47â´ìÍåß,"8,132.40","8,145.10","8,141.00","8,174.20","8,196.10","8,208.90","8,230.40","8,250.20","8,267.80"
